LoanID,CustomerID,BranchID,LoanOfficerEmployeeID,LoanType,LoanStatus,ApplicationDate,DecisionDate,DisbursementDate,RequestedAmount,ApprovedAmount,DisbursedAmount,OutstandingBalance,InterestRate,TermMonths,MonthlyPayment,DaysDelinquent,CollateralType,CollateralValue,PurposeDescription,RejectionReason,CreatedAt,UpdatedAt
LN0001688,CUST005419,BRN0050,EMP00308,Home Mortgage,Disbursed,2023-11-11,2023-12-01,2023-12-03,20934.57,15175.96,15113.39,3753.97,17.2935,12,1386.23,0,Equipment,39026.91,Education,,2023-11-11 00:00:00,2025-10-13 00:00:00
LN0001689,CUST007657,BRN0046,EMP00060,Business Loan,Closed,2024-01-01,2024-01-28,2024-02-06,23308.38,17844.53,17776.35,15395.98,20.8399,360,310.53,0,Vehicle,56509.9,Working capital,,2024-01-01 00:00:00,2025-12-06 00:00:00
LN0001690,CUST004284,BRN0029,EMP00154,Auto Loan,Disbursed,2020-09-02,2020-09-07,2020-09-08,12461.37,11361.95,10962.72,3236.98,12.8582,60,257.7,0,Vehicle,175748.26,Renovation,,2020-09-02 00:00:00,2022-06-24 00:00:00
LN0001691,CUST000680,BRN0019,EMP00177,Business Loan,Disbursed,2024-10-06,2024-10-07,2024-10-19,80718.65,75319.17,74320.52,42418.97,5.4944,24,3321.06,0,Equipment,67842.58,Medical expenses,,2024-10-06 00:00:00,2026-03-16 00:00:00
LN0001692,CUST004722,BRN0019,EMP00018,Student Loan,Approved,2018-09-28,2018-10-11,,750189.17,699475.95,,,9.024,120,8869.75,0,Cash Deposit,51285.61,Equipment purchase,,2018-09-28 00:00:00,2020-08-05 00:00:00
LN0001693,CUST003300,BRN0029,EMP00054,Personal Loan,Disbursed,2019-02-20,2019-03-05,2019-03-12,55111.42,54991.28,53503.05,28395.95,4.1459,48,1245.24,0,Equipment,,Emergency,,2019-02-20 00:00:00,2019-05-26 00:00:00
LN0001694,CUST005750,BRN0034,EMP00179,Credit Card,In Arrears,2021-10-30,2021-11-27,2021-12-03,16965.19,12091.18,11989.39,6750.11,10.4493,60,259.58,77,None,,Emergency,,2021-10-30 00:00:00,2021-12-12 00:00:00
LN0001695,CUST008219,BRN0047,,Student Loan,Rejected,2021-12-27,2022-01-10,,28442.7,,,,4.4767,24,1241.17,0,Property,,Vehicle purchase,Insufficient income,2021-12-27 00:00:00,2023-04-19 00:00:00
LN0001696,CUST002027,BRN0019,EMP00114,Auto Loan,Disbursed,2019-04-28,2019-05-16,2019-05-27,75740.06,72440.21,71325.55,63067.84,11.4142,12,6416.39,0,Vehicle,52467.74,Medical expenses,,2019-04-28 00:00:00,2021-04-16 00:00:00
LN0001697,CUST002490,BRN0047,EMP00491,Business Loan,Defaulted,2024-12-07,2024-12-30,2025-01-11,260623.9,190278.13,189772.74,148449.09,7.8318,180,1799.97,441,Property,136763.81,,,2024-12-07 00:00:00,2026-06-30 00:00:00
LN0001698,CUST003592,BRN0007,EMP00242,Auto Loan,Rejected,2019-01-28,2019-02-13,,6089.89,,,,14.9484,84,117.34,0,Equipment,202874.29,,Policy limit,2019-01-28 00:00:00,2020-07-09 00:00:00
LN0001699,CUST006738,BRN0046,EMP00268,Line of Credit,Pending,2024-10-22,,,7678.68,,,,10.2008,36,248.49,0,Cash Deposit,660817.54,Medical expenses,,2024-10-22 00:00:00,2025-03-31 00:00:00
LN0001700,CUST009218,BRN0004,EMP00091,Auto Loan,Disbursed,2021-08-13,2021-09-06,2021-09-14,9951.3,7878.57,7529.54,5972.52,15.7731,12,713.98,0,Guarantor,27523.97,Renovation,,2021-08-13 00:00:00,2023-02-22 00:00:00
LN0001701,CUST002726,BRN0022,EMP00001,Line of Credit,Pending,2023-07-26,,,145466.21,,,,18.7968,84,3125.7,0,Cash Deposit,,Investment,,2023-07-26 00:00:00,2024-12-18 00:00:00
LN0001702,CUST000024,BRN0031,EMP00164,Auto Loan,Approved,2023-05-23,2023-06-05,,66308.21,62938.79,,,4.2925,240,391.17,0,,19982.43,Education,,2023-05-23 00:00:00,2024-09-22 00:00:00
LN0001703,CUST000030,BRN0009,EMP00330,Credit Card,Rejected,2019-07-27,2019-08-15,,297859.35,,,,19.2312,60,7764.58,0,Vehicle,323346.95,Emergency,Low credit score,2019-07-27 00:00:00,2021-04-05 00:00:00
LN0001704,CUST000570,BRN0046,EMP00152,Student Loan,Rejected,2018-01-13,2018-01-31,,57252.39,,,,16.5864,240,821.82,0,Guarantor,29657.75,Vehicle purchase,Policy limit,2018-01-13 00:00:00,2020-01-05 00:00:00
LN0001705,CUST008430,BRN0023,EMP00280,Line of Credit,Disbursed,2020-11-06,2020-12-06,2020-12-15,3226920.26,3003293.93,2900975.14,1722596.0,9.2044,48,75028.92,0,Vehicle,12654.92,,,2020-11-06 00:00:00,2022-06-10 00:00:00
LN0001706,CUST008196,BRN0017,EMP00133,Line of Credit,Disbursed,2023-11-12,2023-12-01,2023-12-12,12539.77,11988.77,11433.48,5684.97,8.2927,84,188.61,0,Equipment,39915.03,Personal use,,2023-11-12 00:00:00,2024-08-12 00:00:00
LN0001707,CUST004098,BRN0015,EMP00310,Credit Card,Disbursed,2018-10-15,2018-10-29,2018-11-02,202834.03,187495.17,180504.27,149380.69,4.5887,12,16015.67,0,Cash Deposit,125820.08,Business expansion,,2018-10-15 00:00:00,2020-07-09 00:00:00
LN0001708,CUST004155,BRN0034,EMP00433,Personal Loan,Disbursed,2024-02-20,2024-03-04,2024-03-10,43648.54,37325.36,36248.12,30969.19,14.4998,84,709.82,0,None,89487.1,Debt consolidation,,2024-02-20 00:00:00,2024-09-21 00:00:00
LN0001709,CUST000556,BRN0050,EMP00125,Line of Credit,Rejected,2024-09-27,2024-10-07,,11572.21,,,,12.1653,240,128.76,0,Property,,Personal use,,2024-09-27 00:00:00,2026-03-25 00:00:00
LN0001710,CUST007043,BRN0046,EMP00356,Personal Loan,Approved,2024-01-05,2024-01-22,,338148.63,294793.4,,,15.8263,360,3922.99,0,Cash Deposit,,Renovation,,2024-01-05 00:00:00,2025-02-08 00:00:00
LN0001711,CUST005667,BRN0019,EMP00273,Auto Loan,Closed,2023-11-09,2023-11-23,2023-11-24,18658.08,18461.92,18238.33,16689.18,11.8947,48,485.22,0,None,133208.12,Medical expenses,,2023-11-09 00:00:00,2024-04-27 00:00:00
LN0001712,CUST008085,BRN0001,EMP00404,Credit Card,Disbursed,2019-04-09,2019-04-18,2019-04-29,13405.98,10392.53,9952.99,7290.35,12.0226,60,231.29,0,None,56933.8,Medical expenses,,2019-04-09 00:00:00,2020-11-16 00:00:00
LN0001713,CUST001407,BRN0031,EMP00288,Credit Card,Disbursed,2022-08-10,2022-08-19,2022-08-28,68234.34,55584.69,54422.97,4772.0,21.0056,12,5175.85,0,Guarantor,,Investment,,2022-08-10 00:00:00,2023-08-02 00:00:00
LN0001714,CUST005031,BRN0030,EMP00204,Line of Credit,Pending,2020-09-05,,,70832.0,,,,7.0918,240,553.07,0,Equipment,65029.29,Business expansion,,2020-09-05 00:00:00,2020-12-27 00:00:00
LN0001715,CUST001441,BRN0050,,Credit Card,Rejected,2024-07-25,2024-08-01,,9935.62,,,,6.4632,24,442.43,0,Property,,Vehicle purchase,High DTI,2024-07-25 00:00:00,2025-11-11 00:00:00
LN0001716,CUST004655,BRN0022,EMP00241,Line of Credit,Approved,2018-07-31,2018-08-08,,78979.72,62546.58,,,16.0805,240,873.96,0,Guarantor,76700.24,Personal use,,2018-07-31 00:00:00,2018-09-04 00:00:00
LN0001717,CUST004372,BRN0037,EMP00185,Student Loan,Disbursed,2019-01-09,2019-01-16,2019-01-27,8049.43,7532.63,7333.91,2541.5,7.6864,84,,0,Vehicle,76432.33,Medical expenses,,2019-01-09 00:00:00,2020-05-13 00:00:00
LN0001718,CUST002065,BRN0018,EMP00187,Home Mortgage,Rejected,2020-01-09,2020-01-14,,27642.99,,,,5.3113,36,832.35,0,None,44171.79,Home purchase,Incomplete documents,2020-01-09 00:00:00,2020-05-03 00:00:00
LN0001719,CUST007771,BRN0012,,Auto Loan,Approved,2022-11-06,2022-11-11,,28058.78,23497.68,,,4.1302,360,113.95,0,None,697646.3,,,2022-11-06 00:00:00,2023-11-09 00:00:00
LN0001720,CUST003187,BRN0004,EMP00392,Student Loan,Rejected,2020-06-21,2020-06-27,,36505.58,,,,12.6885,360,394.96,0,Property,18525.1,,Low credit score,2020-06-21 00:00:00,2020-10-17 00:00:00
LN0001721,CUST000412,BRN0024,EMP00257,Student Loan,Approved,2021-07-14,2021-07-18,,37431.09,33685.75,,,21.214,24,1734.51,0,Cash Deposit,,Renovation,,2021-07-14 00:00:00,2022-03-21 00:00:00
LN0001722,CUST004922,BRN0029,EMP00291,Line of Credit,Disbursed,2021-12-25,2021-12-29,2022-01-09,11786.91,9377.41,9215.08,951.77,8.3279,36,295.27,0,Guarantor,14674.03,Renovation,,2021-12-25 00:00:00,2023-09-02 00:00:00
LN0001723,CUST008058,BRN0001,EMP00400,Business Loan,Approved,2019-02-18,2019-03-06,,117426.09,110878.21,,,7.4906,240,892.59,0,Equipment,6291.44,Equipment purchase,,2019-02-18 00:00:00,2021-01-31 00:00:00
LN0001724,CUST005827,BRN0045,EMP00005,Line of Credit,Closed,2023-10-12,,2023-11-09,84701.77,73199.91,70276.37,6385.61,21.8101,360,1332.45,0,,,,,2023-10-12 00:00:00,2024-05-14 00:00:00
LN0001725,CUST009489,BRN0023,EMP00201,Student Loan,Disbursed,2019-02-08,2019-02-21,2019-03-03,39256.55,37443.66,36443.2,9671.54,20.9362,12,,0,Equipment,101744.21,Medical expenses,,2019-02-08 00:00:00,2019-09-12 00:00:00
LN0001726,CUST007483,BRN0016,EMP00048,Personal Loan,Approved,2021-02-23,2021-03-23,,142536.0,114375.53,,,6.7858,24,5109.79,0,Equipment,,Business expansion,,2021-02-23 00:00:00,2021-06-04 00:00:00
LN0001727,CUST004455,BRN0048,EMP00401,Line of Credit,Approved,2020-07-25,2020-08-14,,69598.08,59710.32,,,11.7454,60,1320.55,0,Equipment,,Debt consolidation,,2020-07-25 00:00:00,2021-06-19 00:00:00
LN0001728,CUST001044,BRN0034,EMP00362,Auto Loan,Rejected,2021-09-10,2021-09-28,,22839.25,,,,20.3786,36,853.2,0,,5614.56,Debt consolidation,Policy limit,2021-09-10 00:00:00,2022-01-09 00:00:00
LN0001729,CUST009177,BRN0024,EMP00066,Line of Credit,Rejected,2018-09-23,2018-10-11,,11944.93,,,,14.4244,84,226.66,0,None,126532.15,,,2018-09-23 00:00:00,2018-11-06 00:00:00
LN0001730,CUST000270,BRN0003,EMP00306,Student Loan,Rejected,2021-01-18,2021-02-09,,165648.26,,,,7.3679,24,7444.16,0,None,224644.05,Medical expenses,High DTI,2021-01-18 00:00:00,2022-07-05 00:00:00
LN0001731,CUST004282,BRN0020,EMP00141,Auto Loan,Defaulted,2024-10-25,2024-11-17,2024-11-18,14248.16,12939.43,12517.12,5336.96,7.7739,84,200.22,710,Guarantor,19897.7,Home purchase,,2024-10-25 00:00:00,2025-02-10 00:00:00
LN0001732,CUST007544,BRN0007,EMP00369,Auto Loan,Rejected,2024-12-07,2024-12-10,,22354.28,,,,22.1852,36,855.86,0,Cash Deposit,223052.27,,High DTI,2024-12-07 00:00:00,2025-02-20 00:00:00
LN0001733,CUST001660,BRN0040,EMP00215,Credit Card,Closed,2019-01-07,2019-01-22,2019-01-24,80552.0,62287.36,60491.56,3399.49,17.2611,12,5688.62,0,Property,82419.21,Home purchase,,2019-01-07 00:00:00,2020-05-24 00:00:00
LN0001734,CUST000050,BRN0002,EMP00132,Business Loan,Disbursed,2018-04-27,2018-05-18,2018-05-21,11087.2,10284.46,9776.33,225.39,16.1267,180,151.96,0,Equipment,,Business expansion,,2018-04-27 00:00:00,2019-04-07 00:00:00
LN0001735,CUST009456,BRN0024,EMP00250,Auto Loan,Approved,2018-08-21,2018-09-02,,318981.85,296140.03,,,6.873,180,2640.81,0,Equipment,52994.62,Home purchase,,2018-08-21 00:00:00,2018-09-21 00:00:00
LN0001736,CUST003758,BRN0040,EMP00312,Credit Card,Disbursed,2018-07-03,2018-07-20,2018-07-31,23420.99,21987.28,21510.0,17508.29,14.0386,24,,0,Cash Deposit,83299.92,Equipment purchase,,2018-07-03 00:00:00,2018-08-02 00:00:00
LN0001737,CUST009227,BRN0009,EMP00122,Credit Card,Disbursed,2023-01-09,2023-02-08,2023-02-11,36146.74,29710.25,29599.94,10396.57,14.0941,48,813.28,0,None,,Vehicle purchase,,2023-01-09 00:00:00,2024-08-29 00:00:00
LN0001738,CUST004702,BRN0029,EMP00447,Home Mortgage,Approved,2023-03-25,2023-04-13,,48182.1,38457.39,,,13.8329,180,507.84,0,Property,3482.16,Working capital,,2023-03-25 00:00:00,2024-09-23 00:00:00
LN0001739,CUST008975,BRN0007,EMP00069,Business Loan,Disbursed,2022-01-01,2022-01-13,2022-01-22,97469.83,86352.85,84694.45,264.56,15.1023,120,1398.59,0,Property,109292.9,Home purchase,,2022-01-01 00:00:00,2022-03-20 00:00:00
LN0001740,CUST002429,BRN0006,EMP00233,Business Loan,Disbursed,2023-11-17,2023-12-02,2023-12-11,123919.69,114350.3,112927.21,104078.99,6.8843,24,5113.76,0,Vehicle,38702.72,Personal use,,2023-11-17 00:00:00,2024-11-05 00:00:00
LN0001741,CUST007660,BRN0017,EMP00371,Home Mortgage,Disbursed,2021-03-15,2021-04-13,2021-04-24,3554.02,2761.24,2625.83,800.92,13.6278,180,36.08,0,Vehicle,211846.29,Debt consolidation,,2021-03-15 00:00:00,2022-01-10 00:00:00
LN0001742,CUST007837,BRN0016,EMP00054,Personal Loan,Pending,2020-08-22,,,112822.89,,,,4.0881,48,2551.88,0,Cash Deposit,,Vehicle purchase,,2020-08-22 00:00:00,2021-01-29 00:00:00
LN0001743,CUST007392,BRN0007,EMP00374,Student Loan,Disbursed,2024-01-19,2024-01-31,2024-02-02,13387.24,10651.81,10640.37,878.7,9.2097,36,339.77,0,Vehicle,6644.18,Working capital,,2024-01-19 00:00:00,2024-10-05 00:00:00
LN0001744,CUST001491,BRN0015,EMP00489,Auto Loan,Rejected,2024-07-19,2024-08-05,,28263.66,,,,17.5527,48,823.65,0,None,,Emergency,Insufficient income,2024-07-19 00:00:00,2025-10-05 00:00:00
LN0001745,CUST007881,BRN0018,EMP00284,Home Mortgage,Defaulted,2019-04-14,2019-05-09,2019-05-15,39437.44,36807.49,36641.1,24040.57,17.3892,48,1069.51,191,Cash Deposit,5600.54,Emergency,,2019-04-14 00:00:00,2020-11-29 00:00:00
LN0001746,CUST008627,BRN0003,EMP00389,Home Mortgage,Rejected,2019-05-12,2019-05-15,,71805.68,,,,6.0104,180,606.34,0,Cash Deposit,,Education,Insufficient income,2019-05-12 00:00:00,2020-11-05 00:00:00
LN0001747,CUST003696,BRN0026,EMP00098,Auto Loan,Pending,2018-10-07,,,29205.74,,,,7.1042,24,1309.0,0,Vehicle,,Working capital,,2018-10-07 00:00:00,2018-11-06 00:00:00
LN0001748,CUST004931,BRN0017,EMP00390,Business Loan,Disbursed,2019-11-20,2019-12-06,2019-12-12,60047.63,45561.9,45483.36,39081.63,13.8226,24,2183.74,0,Cash Deposit,4245.62,,,2019-11-20 00:00:00,2020-11-24 00:00:00
LN0001749,CUST009600,BRN0009,EMP00127,Home Mortgage,Rejected,2023-09-11,2023-10-02,,31680.0,,,,16.5796,120,542.18,0,Guarantor,,Renovation,,2023-09-11 00:00:00,2025-03-28 00:00:00
LN0001750,CUST004612,BRN0042,EMP00168,Student Loan,Defaulted,2024-12-17,2025-01-09,2025-01-17,133127.34,105621.09,103089.2,22748.86,7.7806,360,758.92,527,None,357452.89,Business expansion,,2024-12-17 00:00:00,2025-10-13 00:00:00
LN0001751,CUST009739,BRN0034,EMP00260,Personal Loan,Approved,2018-02-27,2018-03-08,,21047.2,15951.13,,,3.8397,120,160.29,0,Cash Deposit,7864.57,Vehicle purchase,,2018-02-27 00:00:00,2019-09-20 00:00:00
LN0001752,CUST006604,BRN0015,EMP00214,Credit Card,Closed,2022-02-07,2022-03-04,2022-03-14,112056.45,95326.7,91658.5,185.73,10.4784,120,1285.14,0,None,927954.7,Medical expenses,,2022-02-07 00:00:00,2022-08-17 00:00:00
LN0001753,CUST001508,BRN0034,EMP00287,Student Loan,Disbursed,2020-09-17,2020-09-19,2020-09-20,40675.23,31718.37,30274.71,10391.86,6.2385,180,271.76,0,Cash Deposit,24366.53,Business expansion,,2020-09-17 00:00:00,2022-01-21 00:00:00
LN0001754,CUST006721,BRN0004,EMP00343,Business Loan,Disbursed,2021-05-24,2021-06-13,2021-06-14,34488.64,28470.87,27389.19,24726.26,11.9086,360,290.85,0,None,125628.34,Business expansion,,2021-05-24 00:00:00,2022-06-02 00:00:00
LN0001755,CUST001687,BRN0016,EMP00289,Line of Credit,Disbursed,2020-11-06,2020-11-10,2020-11-15,18222.35,15323.54,15317.39,2756.9,13.6755,180,200.74,0,None,,Medical expenses,,2020-11-06 00:00:00,2020-11-14 00:00:00
LN0001756,CUST009921,BRN0008,EMP00197,Personal Loan,Approved,2023-06-19,2023-06-25,,28568.34,23984.78,,,12.4203,36,801.46,0,Property,13245.97,Emergency,,2023-06-19 00:00:00,2024-12-30 00:00:00
LN0001757,CUST000126,BRN0002,EMP00042,Auto Loan,Approved,2024-04-17,2024-05-05,,17001.22,16730.61,,,16.7275,360,234.83,0,Cash Deposit,,Investment,,2024-04-17 00:00:00,2024-06-18 00:00:00
LN0001758,CUST001302,BRN0039,EMP00012,Auto Loan,Defaulted,2019-11-28,2019-12-06,2019-12-19,8061.2,7740.43,7683.04,544.95,4.1456,180,57.82,157,Cash Deposit,,Home purchase,,2019-11-28 00:00:00,2020-01-07 00:00:00
LN0001759,CUST003157,BRN0008,EMP00232,Business Loan,Defaulted,2020-02-15,2020-03-10,2020-03-16,10358.01,8567.53,8287.95,5468.69,6.1599,360,52.25,229,,,Emergency,,2020-02-15 00:00:00,2022-01-08 00:00:00
LN0001760,CUST004850,BRN0019,EMP00441,Personal Loan,Approved,2022-06-20,2022-07-10,,427529.01,421971.7,,,5.8505,120,,0,Cash Deposit,46057.08,Working capital,,2022-06-20 00:00:00,2022-11-03 00:00:00
LN0001761,CUST005562,BRN0034,EMP00106,Personal Loan,Rejected,2024-07-22,2024-08-05,,31216.57,,,,23.9643,120,687.49,0,,,Business expansion,Policy limit,2024-07-22 00:00:00,2026-01-15 00:00:00
LN0001762,CUST007217,BRN0033,EMP00157,Credit Card,Rejected,2020-11-13,2020-11-23,,342120.23,,,,23.8144,48,11118.67,0,Equipment,,Renovation,Incomplete documents,2020-11-13 00:00:00,2022-02-25 00:00:00
LN0001763,CUST007402,BRN0047,EMP00458,Business Loan,Rejected,2023-06-17,2023-07-13,,32659.83,,,,17.9644,84,685.76,0,Vehicle,4082.84,Equipment purchase,Insufficient income,2023-06-17 00:00:00,2024-06-23 00:00:00
LN0001764,CUST003985,BRN0007,EMP00062,Credit Card,Closed,2019-11-18,2019-11-22,2019-11-24,17130.59,12696.88,12296.91,1727.27,6.6532,60,249.34,0,Cash Deposit,155230.8,Investment,,2019-11-18 00:00:00,2020-04-01 00:00:00
LN0001765,CUST006063,BRN0015,EMP00125,Home Mortgage,Disbursed,2018-01-02,2018-01-31,2018-02-07,166932.59,163971.57,158265.49,16296.35,8.9498,180,1658.22,0,Property,77357.51,Education,,2018-01-02 00:00:00,2019-07-25 00:00:00
LN0001766,CUST002075,BRN0036,,Personal Loan,Closed,2020-09-18,2020-09-22,2020-10-06,44151.02,40340.14,38812.97,2140.52,11.0268,240,417.12,0,Equipment,,Personal use,,2020-09-18 00:00:00,2022-04-09 00:00:00
LN0001767,CUST008713,BRN0050,EMP00144,Student Loan,Disbursed,2020-12-08,2020-12-23,2020-12-30,180332.2,134640.5,133741.75,103286.27,15.1894,120,2187.86,0,Cash Deposit,,Personal use,,2020-12-08 00:00:00,2022-11-17 00:00:00
LN0001768,CUST000595,BRN0022,EMP00448,Auto Loan,Approved,2022-11-19,2022-12-12,,2051.98,1829.02,,,13.3958,12,163.7,0,Guarantor,882424.67,Education,,2022-11-19 00:00:00,2023-04-16 00:00:00
LN0001769,CUST001419,BRN0041,EMP00434,Business Loan,Approved,2023-03-26,2023-04-14,,54972.36,53787.98,,,19.8721,360,893.15,0,Cash Deposit,,Working capital,,2023-03-26 00:00:00,2024-02-09 00:00:00
LN0001770,CUST008667,BRN0004,EMP00149,Business Loan,Defaulted,2022-06-29,,2022-07-24,90500.89,65185.9,64491.01,18449.75,12.8324,180,817.58,660,None,201783.76,Equipment purchase,,2022-06-29 00:00:00,2023-11-20 00:00:00
LN0001771,CUST002290,BRN0038,EMP00152,Credit Card,Approved,2020-01-16,2020-02-14,,66926.78,60177.39,,,20.2425,360,1017.58,0,,84266.04,Home purchase,,2020-01-16 00:00:00,2020-08-20 00:00:00
LN0001772,CUST003647,BRN0031,EMP00002,Student Loan,Approved,2018-10-25,2018-11-19,,68285.65,57478.4,,,18.5573,36,2094.09,0,Property,,Home purchase,,2018-10-25 00:00:00,2019-08-19 00:00:00
LN0001773,CUST002577,BRN0043,EMP00166,Student Loan,Defaulted,2020-10-30,2020-11-20,2020-11-27,12137.3,9972.79,9748.78,118.52,21.0366,180,182.84,574,Guarantor,,Personal use,,2020-10-30 00:00:00,2021-12-06 00:00:00
LN0001774,CUST000413,BRN0004,EMP00261,Line of Credit,Disbursed,2023-03-11,2023-03-30,2023-04-07,18623.27,16101.69,15579.16,1817.09,10.3369,24,,0,Property,126435.75,Business expansion,,2023-03-11 00:00:00,2023-05-28 00:00:00
LN0001775,CUST006260,BRN0032,EMP00494,Home Mortgage,Rejected,2018-10-26,2018-11-10,,34150.88,,,,7.3228,360,234.66,0,,216111.96,Medical expenses,Policy limit,2018-10-26 00:00:00,2018-12-30 00:00:00
LN0001776,CUST000026,BRN0007,EMP00106,Student Loan,Disbursed,2024-05-06,2024-05-24,2024-06-07,63931.7,61908.78,59416.44,37988.72,10.243,180,674.51,0,Equipment,27964.69,,,2024-05-06 00:00:00,2024-07-27 00:00:00
LN0001777,CUST009296,BRN0012,,Auto Loan,Pending,2020-02-02,,,83466.06,,,,13.1511,36,2818.38,0,Cash Deposit,85198.27,Equipment purchase,,2020-02-02 00:00:00,2020-06-28 00:00:00
LN0001778,CUST009108,BRN0032,EMP00085,Credit Card,Rejected,2020-09-12,2020-09-17,,98808.32,,,,22.2803,180,1904.0,0,Property,692280.11,Investment,,2020-09-12 00:00:00,2022-06-06 00:00:00
LN0001779,CUST005503,BRN0033,EMP00297,Auto Loan,Rejected,2019-05-03,2019-06-02,,30384.36,,,,13.6005,180,396.52,0,Cash Deposit,,Medical expenses,Incomplete documents,2019-05-03 00:00:00,2020-02-01 00:00:00
LN0001780,CUST001643,BRN0007,EMP00405,Auto Loan,Rejected,2019-11-09,2019-12-09,,134513.2,,,,22.5459,240,2556.61,0,Cash Deposit,18726.92,Home purchase,Insufficient income,2019-11-09 00:00:00,2021-06-30 00:00:00
LN0001781,CUST000032,BRN0009,EMP00496,Business Loan,In Arrears,2021-06-09,2021-06-17,2021-06-27,41808.58,,32107.11,29513.97,7.2208,24,1451.74,28,Guarantor,296433.29,Emergency,,2021-06-09 00:00:00,2022-05-27 00:00:00
LN0001782,CUST006481,BRN0042,EMP00136,Home Mortgage,Rejected,2019-04-24,2019-04-27,,23089.96,,,,9.4295,48,579.32,0,Property,,Renovation,High DTI,2019-04-24 00:00:00,2020-04-27 00:00:00
LN0001783,CUST002826,BRN0031,EMP00315,Student Loan,Approved,2022-06-18,2022-06-23,,146979.14,115263.17,,,19.7742,24,5853.7,0,Equipment,50167.76,Renovation,,2022-06-18 00:00:00,2023-10-15 00:00:00
LN0001784,CUST006308,BRN0021,EMP00447,Business Loan,Approved,2020-07-24,2020-08-17,,65391.38,59026.05,,,6.702,120,676.31,0,Vehicle,,Vehicle purchase,,2020-07-24 00:00:00,2021-05-03 00:00:00
LN0001785,CUST000742,BRN0001,EMP00211,Credit Card,Rejected,2019-06-20,2019-07-08,,115794.07,,,,8.1881,24,5246.99,0,None,391087.59,Equipment purchase,Policy limit,2019-06-20 00:00:00,2020-12-11 00:00:00
LN0001786,CUST004575,BRN0030,EMP00067,Student Loan,In Arrears,2022-07-19,2022-08-03,2022-08-11,116516.31,102097.97,99978.51,22845.59,8.3509,48,2509.36,71,Property,,Working capital,,2022-07-19 00:00:00,2022-08-31 00:00:00
LN0001787,CUST001686,BRN0015,EMP00031,Home Mortgage,Approved,2024-06-21,2024-07-11,,13317.2,12248.31,,,23.3745,60,347.93,0,Cash Deposit,51915.49,Business expansion,,2024-06-21 00:00:00,2026-03-01 00:00:00
LN0001788,CUST000207,BRN0004,EMP00392,Auto Loan,Disbursed,2023-02-28,2023-03-13,2023-03-26,151006.12,,147269.09,17642.07,8.789,84,2365.3,0,Equipment,,Debt consolidation,,2023-02-28 00:00:00,2025-02-05 00:00:00
LN0001789,CUST000193,BRN0011,EMP00376,Personal Loan,Approved,2024-03-01,2024-03-29,,34677.22,29242.86,,,5.3688,360,163.64,0,Equipment,,Debt consolidation,,2024-03-01 00:00:00,2024-09-27 00:00:00
LN0001790,CUST004206,BRN0042,EMP00128,Credit Card,In Arrears,2020-03-29,2020-04-17,2020-04-18,26135.73,23198.73,23165.31,12772.31,3.8983,36,,68,Equipment,,Personal use,,2020-03-29 00:00:00,2021-10-07 00:00:00
LN0001791,CUST009846,BRN0046,EMP00374,Student Loan,Approved,2018-06-26,2018-07-12,,19203.82,14981.21,,,11.8573,60,332.17,0,Guarantor,,Equipment purchase,,2018-06-26 00:00:00,2020-02-15 00:00:00
LN0001792,CUST007227,BRN0008,EMP00414,Credit Card,Approved,2023-10-11,2023-10-30,,24576.52,24158.01,,,5.397,240,164.78,0,Guarantor,,Investment,,2023-10-11 00:00:00,2024-02-17 00:00:00
LN0001793,CUST009838,BRN0018,EMP00371,Home Mortgage,Disbursed,2024-01-13,2024-02-01,2024-02-04,41727.28,39787.81,38092.55,7710.23,5.4911,12,3415.1,0,None,11676.07,Working capital,,2024-01-13 00:00:00,2025-06-21 00:00:00
LN0001794,CUST004964,BRN0017,EMP00135,Home Mortgage,Approved,2021-05-10,2021-06-07,,21644.73,17474.5,,,15.0862,84,338.05,0,Vehicle,7795.69,,,2021-05-10 00:00:00,2022-02-09 00:00:00
LN0001795,CUST002907,BRN0019,EMP00219,Business Loan,Rejected,2019-03-14,2019-04-12,,115865.87,,,,5.9398,12,9968.96,0,Equipment,,Renovation,Policy limit,2019-03-14 00:00:00,2020-06-12 00:00:00
LN0001796,CUST004764,BRN0036,EMP00165,Credit Card,Disbursed,2019-08-23,2019-09-11,2019-09-16,47438.98,33926.66,32614.93,19248.02,5.3198,180,273.98,0,Property,,Emergency,,2019-08-23 00:00:00,2020-03-12 00:00:00
LN0001797,CUST009285,BRN0012,EMP00257,Student Loan,Rejected,2024-11-14,2024-12-13,,69580.03,,,,18.4685,60,1784.66,0,Vehicle,58395.22,Working capital,Low credit score,2024-11-14 00:00:00,2025-01-22 00:00:00
LN0001798,CUST002097,BRN0045,EMP00182,Student Loan,Approved,2021-12-20,2021-12-24,,30389.86,24755.54,,,23.5179,48,800.49,0,None,102307.75,,,2021-12-20 00:00:00,2023-05-10 00:00:00
LN0001799,CUST007342,BRN0033,EMP00225,Business Loan,Rejected,2021-03-04,2021-03-16,,129203.43,,,,8.9862,360,1038.32,0,Guarantor,15724.06,Personal use,,2021-03-04 00:00:00,2022-05-15 00:00:00
LN0001800,CUST008253,BRN0031,EMP00356,Student Loan,Approved,2019-08-26,2019-09-09,,196126.37,144427.86,,,15.3857,36,5033.96,0,Vehicle,25131.14,Business expansion,,2019-08-26 00:00:00,2020-04-23 00:00:00
